Sentence,Sentiment,Cleaned_Sentence,word_count,char_count,label_encoded
"In January-June 2010 , diluted loss per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009 .",negative,in january june diluted loss per share stood at eur versus eur in the first half of,17,83,0
Rapala said it estimates it will make savings of 1-2 mln eur a year by centralising its French operations at one site .,positive,rapala said it estimates it will make savings of mln eur a year by centralising its french operations at one site,21,113,2
$VMW  Got a nice push today following small sweepers of May C this morning,positive,vmw got a nice push today following small sweepers of may c this morning,14,72,2
That topped consensus forecasts for earnings of 0.21 euros a share .,positive,that topped consensus forecasts for earnings of euros a share,10,61,2
R&D Loan ) .,neutral,r d loan,3,8,1
"In future , the company intends to look for know-how from outside the company and to cooperate with other actors in the sector .",positive,in future the company intends to look for know how from outside the company and to cooperate with other actors in the sector,23,124,2
"You need to be ready when the window opens up , Rosberg said .",neutral,you need to be ready when the window opens up rosberg said,12,58,1
"More than 50,000 tonnes of asphalt mix will be used in the contract .",neutral,more than tonnes of asphalt mix will be used in the contract,12,60,1
"PA ) , JPMorgan Chase and Co ( NYSE : JPM ) and Pohjoa Bank are joint lead-managers on the senior , unsecured deal .",neutral,pa jpmorgan chase and co nyse jpm and pohjoa bank are joint lead managers on the senior unsecured deal,19,102,1
$CTRP  breaking out here on good vol and a parser buy signal  ..noticed this on bob langs comments looking for 48 fast,positive,ctrp breaking out here on good vol and a parser buy signal noticed this on bob langs comments looking for fast,21,110,2
"Sales in Finland decreased by 10.5 % in January , while sales outside Finland dropped by 17 % .",neutral,sales in finland decreased by in january while sales outside finland dropped by,13,79,1
"The pulp production in Finnish Kemij+ñrvi will also be liquidated and about 1,100 employees loose their jobs .",negative,the pulp production in finnish kemij rvi will also be liquidated and about employees loose their jobs,17,101,0
Nordea was the cheapest also for a couple in their 30s with debt .,neutral,nordea was the cheapest also for a couple in their s with debt,13,62,1
"Jussi Pesonen , member of the Sampo Board since 2006 , will renounce his seat in Sampo Board .",neutral,jussi pesonen member of the sampo board since will renounce his seat in sampo board,15,83,1
"Tesla is recalling 2,700 Model X cars: https://t.co/8Z7BkVsTl9 $TSLA",negative,tesla is recalling model x cars tsla,7,36,0
"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",positive,adjusted for changes in the group structure the division s net sales increased by,14,81,2
"Making matters more difficult , the company said it has been grappling with higher oil and gas prices , which have pushed up the cost of energy , raw materials and transportation .",neutral,making matters more difficult the company said it has been grappling with higher oil and gas prices which have pushed up the cost of energy raw materials and transportation,29,172,1
The amending of the proposal simplifies the proposed plan and increases the incentive for key employees to stay in the Company .,positive,the amending of the proposal simplifies the proposed plan and increases the incentive for key employees to stay in the company,21,126,2
The solution will now be expanded to include all ground staff tasks .,neutral,the solution will now be expanded to include all ground staff tasks,12,67,1
"Operating loss totalled EUR 3.2 mn , compared to a profit of EUR 7.2 mn in the third quarter of 2008 .",negative,operating loss totalled eur mn compared to a profit of eur mn in the third quarter of,17,85,0
"On #FEDDAY looking for a sharp move up in equities $AAPL $HD $LOW $FB seeing $UVXY $TVIX getting hammered, even though market is down.",positive,on fedday looking for a sharp move up in equities aapl hd low fb seeing uvxy tvix getting hammered even though market is down,24,125,2
"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",positive,net sales totaled eur mn up from eur mn in the corresponding period in,14,70,2
As a consequence the Works Council had withdrawn its petition to suspend the reorganisation .,neutral,as a consequence the works council had withdrawn its petition to suspend the reorganisation,14,91,1
CEO Erkki J+ñrvinen is happy with the company 's performance in 2010 .,positive,ceo erkki j rvinen is happy with the company s performance in,12,61,2
"Comparable net sales are expected to increase more than 10 % in 2008 , in line with group target .",positive,comparable net sales are expected to increase more than in in line with group target,15,84,2
"Following the transaction , Lundbeck has worldwide rights for nalmefene , excluding North America , Mexico , Turkey and South-Korea .",positive,following the transaction lundbeck has worldwide rights for nalmefene excluding north america mexico turkey and south korea,17,123,2
"The government started the sell-off last month , putting an 8 percent stake in TeliaSonera on the auction bloc .",neutral,the government started the sell off last month putting an percent stake in teliasonera on the auction bloc,18,106,1
"The report goes on to provide detailed profiles of ten leading European specialty chemicals companies , and brief profiles of other major players .",neutral,the report goes on to provide detailed profiles of ten leading european specialty chemicals companies and brief profiles of other major players,22,143,1
"Both operating profit and net sales for the three-month period increased , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 .",positive,both operating profit and net sales for the three month period increased respectively from eur m and eur m as compared to the corresponding quarter in,26,150,2
The company expects its net sales for the whole 2009 to be at previous year levels .,neutral,the company expects its net sales for the whole to be at previous year levels,15,77,1
"The company is headquartered in Sievi , Finland , and is listed on the Nordic Exchange in Helsinki .",neutral,the company is headquartered in sievi finland and is listed on the nordic exchange in helsinki,16,94,1
"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",positive,commission income increased by to eur mn and lending volume rose by,12,67,2
"The Finnish company sold its UK operation - consisting of 50 staff in offices in London , Birmingham and Manchester - as part of a deal with Hampden in July 2001 for its European-wide property and casualty arm Sampo Industrial .",neutral,the finnish company sold its uk operation consisting of staff in offices in london birmingham and manchester as part of a deal with hampden in july for its european wide property and casualty arm sampo industrial,36,212,1
"In the building and home improvement trade , sales decreased by 22.5 % to EUR 201.4 mn .",negative,in the building and home improvement trade sales decreased by to eur mn,13,71,0
